dataset,week,protocol,model,n,n_clusters,cluster_unit,auc_mean,auc_ci_low,auc_ci_high,pr_auc_risk_mean,pr_auc_risk_ci_low,pr_auc_risk_ci_high,brier_mean,brier_ci_low,brier_ci_high,ece_mean,ece_ci_low,ece_ci_high
oulab,4,cutoff_valid_to_activity,base_lr_profile,28956,22,presentation,0.6358891143980117,0.6234945116907529,0.6480809555397328,0.6036335484881403,0.5777832233419812,0.6263707103232601,0.23670340666392867,0.2308920757970768,0.24319270081779398,0.03997705369098215,0.014241835168431973,0.0742088073714142
oulab,4,cutoff_valid_to_activity,base_rf_gini,28956,22,presentation,0.7934802650615291,0.7692218050111764,0.8121079277810134,0.7970378951398283,0.7548440651949013,0.8279865081291891,0.18481974206311608,0.17835752766986665,0.19231779831150908,0.04118355084870302,0.03308680572383944,0.05284413045199774
oulab,4,cutoff_valid_to_activity,stack_7_full,28956,22,presentation,0.8116204300230769,0.7889144915123185,0.828517441426198,0.8184392755262944,0.7782646255357737,0.8472707525706995,0.17469861050907987,0.1681821849036922,0.18193853259380277,0.019992515557089655,0.014689204580421828,0.026450282149714763
oulab,4,cutoff_valid_to_activity,temporal_hgb,28956,22,presentation,0.7571412837216518,0.7231228744604578,0.7847577974892844,0.7397304445065908,0.6793450583483732,0.7844436466054375,0.2006863349990713,0.19255294689662614,0.21034823465157512,0.027362257470769886,0.01467246401443095,0.05651248002843003
oulab,4,static_full,base_lr_profile,32593,22,presentation,0.7081189837408877,0.6914385543684197,0.7262565073290542,0.7632678222223015,0.7390098602333819,0.7821722430663338,0.21177909716113089,0.2057864043435588,0.21744883668446338,0.004735639819462189,0.005775970143819253,0.03363484137943271
oulab,4,static_full,base_rf_gini,32593,22,presentation,0.83300612800812,0.8133274837165356,0.8469306916475321,0.8697252265425328,0.8403242347428016,0.8888432832163553,0.16531297957037863,0.15897298039615212,0.17367064994414377,0.022756842798890103,0.014650844666954438,0.03324121299162399
oulab,4,static_full,stack_7_full,32593,22,presentation,0.8471994984760435,0.8294097754725602,0.8592297426183733,0.8816076755692936,0.8554088297686977,0.8986156084562857,0.15726079314434577,0.15106286607993605,0.16540605341987905,0.009771970539822117,0.007415483705599659,0.01634288130818326
oulab,4,static_full,temporal_hgb,32593,22,presentation,0.8024831925110751,0.768983683810588,0.8275678034286247,0.8317708541533244,0.7791428735154676,0.8695356034035687,0.17955151324915058,0.16845862377385643,0.19586836205521196,0.008364926449392919,0.008504332309475483,0.04109420533007971
oulab,6,activity_conditioned,base_lr_profile,29095,22,presentation,0.6376716003079961,0.6257110448931944,0.6496046202332018,0.6061642616476773,0.5810262910445789,0.6276662211000469,0.23487437246098888,0.2312059707044659,0.2388064585455926,0.006344925114220082,0.005582936323999833,0.03658353401289737
oulab,6,activity_conditioned,base_rf_gini,29095,22,presentation,0.8215119598293505,0.7958729206072631,0.8428986639493715,0.8303486021260459,0.7883035793306686,0.8626717551986337,0.17091052597815007,0.16160298418023483,0.18091646394192382,0.0335404717819127,0.02624347236399028,0.04506053933358435
oulab,6,activity_conditioned,stack_7_full,29095,22,presentation,0.8370335674892697,0.8141683106389404,0.8547404029400154,0.8467026211217842,0.8095884190620162,0.8742883114787089,0.1619264144845673,0.15365889755103576,0.17096747791658437,0.009800459933610232,0.008697351844711508,0.017349371653455854
oulab,6,activity_conditioned,temporal_hgb,29095,22,presentation,0.7970824284946357,0.7608781915603422,0.8274774945421793,0.7958593629668134,0.7321138618650573,0.8434569482857149,0.1820785518284962,0.16909913217308148,0.19818708235229693,0.011238691977870351,0.01008824847602807,0.04177939569217549
oulab,6,activity_to_cutoff_valid,base_lr_profile,27022,22,presentation,0.6303900678879149,0.6177272756168741,0.642749894130628,0.5593232309355445,0.5315802563782654,0.5833712735993832,0.23406904696481418,0.2308666560766858,0.2372674971045902,0.03947635365880754,0.01634210405955409,0.06526047649980292
oulab,6,activity_to_cutoff_valid,base_rf_gini,27022,22,presentation,0.792759780347779,0.7696017365036503,0.8124516698393678,0.7664404979472696,0.7242431047605102,0.7995273412890669,0.18181977351047796,0.1739623131500621,0.18975658183968144,0.033630310935827884,0.024152620588664783,0.05006690950059823
oulab,6,activity_to_cutoff_valid,stack_7_full,27022,22,presentation,0.8103754030349286,0.7907986175167045,0.8259787341555124,0.7887940397333967,0.7531090982341596,0.816189922198182,0.17267578661907604,0.16607294250783053,0.17932376945267098,0.010757526500607474,0.00808779866356596,0.021262187981933148
oulab,6,activity_to_cutoff_valid,temporal_hgb,27022,22,presentation,0.7670781394614227,0.7352602710036114,0.7950420158946545,0.7216264534198814,0.6597577523843468,0.7741522736149052,0.19264098256937154,0.18078379110425136,0.20728779645899179,0.01941662976544506,0.008391183503601502,0.05795449929249172
oulab,6,cutoff_valid,base_lr_profile,27022,22,presentation,0.6464725884867334,0.6327012901064959,0.6598201424827412,0.5951372601124842,0.5698311943436486,0.6164599450536947,0.2275654006520192,0.22207148000711135,0.23291044995378757,0.00829056750287055,0.007426258253362444,0.031696686669063896
oulab,6,cutoff_valid,base_rf_gini,27022,22,presentation,0.7932604674032342,0.7706819445534268,0.8124443412560399,0.7668297716935338,0.7261306568715905,0.7982016247335569,0.1825907156207122,0.17495228741690086,0.19038354521615,0.044253998718484684,0.03423418310883829,0.05977107489050442
oulab,6,cutoff_valid,stack_7_full,27022,22,presentation,0.8109659847791135,0.7914601650228208,0.8265859927355335,0.789649900231423,0.7545724508263381,0.8168742247449072,0.17237354669048086,0.16581846894481983,0.17890503765475174,0.010074259693745712,0.008909704160325022,0.018953046557672344
oulab,6,cutoff_valid,temporal_hgb,27022,22,presentation,0.7687654771779412,0.7391884092409664,0.7948503899236746,0.7261122755063957,0.668903700126903,0.7707575905619648,0.19148035015206066,0.18195303585738926,0.20217864857679263,0.01289235727402217,0.010087150450767492,0.039746121573855854
oulab,6,cutoff_valid_to_activity,base_lr_profile,29095,22,presentation,0.6344536461728512,0.622027310914609,0.6468714534652225,0.6034765594287007,0.5777058369130263,0.6261296159118281,0.23796658429020093,0.23163231076653626,0.24516011411807362,0.05011909384210504,0.020801278614712197,0.0839441174013313
oulab,6,cutoff_valid_to_activity,base_rf_gini,29095,22,presentation,0.8212842094226445,0.7960220313127535,0.8421473109460219,0.8295188081341218,0.7877055322336435,0.8615125742559084,0.17225702421165515,0.1632142658877658,0.18211672967031314,0.046684156609371814,0.03795667637300914,0.05725437269402117
oulab,6,cutoff_valid_to_activity,stack_7_full,29095,22,presentation,0.8367172158913891,0.813749808812722,0.8544824776389676,0.8460714599811122,0.8091081560794213,0.8735062054035614,0.16237180609496235,0.1541116433860204,0.17134110475699985,0.016961108236901945,0.012812193351684025,0.025176929941390806
oulab,6,cutoff_valid_to_activity,temporal_hgb,29095,22,presentation,0.7967096747212836,0.7628106365537454,0.8247770688525347,0.790271082426962,0.7333042254094926,0.8325474585219496,0.18425755316544853,0.17375029700639885,0.19621836210552648,0.028592950682657013,0.02060060216475681,0.0543856296206794
oulab,6,static_full,base_lr_profile,32593,22,presentation,0.7069752797672387,0.6900992672195526,0.7252877222679344,0.7627646700993662,0.7390778103542509,0.7813836877672011,0.21187042694954744,0.20586209853792786,0.2174549863599663,0.004665690887795528,0.005413972182448921,0.033026580951723755
oulab,6,static_full,base_rf_gini,32593,22,presentation,0.8548106729688801,0.8335301992244994,0.8704788154524045,0.8879241890431546,0.8604069351324768,0.9067055143975354,0.1542706494660705,0.14631902521188028,0.16397061759292483,0.026186627012483945,0.018127507370293918,0.036120223994308816
oulab,6,static_full,stack_7_full,32593,22,presentation,0.8672392967604913,0.8492211203605311,0.8804131393748529,0.8979348084452645,0.8745484452231949,0.9139749974812276,0.14636429205884213,0.13888778228803567,0.15553099236230677,0.009259854678817172,0.008288128356021622,0.015789238867508815
oulab,6,static_full,temporal_hgb,32593,22,presentation,0.8340310743451775,0.8022248088868467,0.8579615644672557,0.8618243219239489,0.8147226495614,0.8944464362509897,0.1646405477535082,0.1525852726146633,0.18136957271899082,0.011060416098348338,0.00938495324653387,0.0384552174561853
oulab,8,activity_conditioned,base_lr_profile,29166,22,presentation,0.637547354708954,0.625610363314588,0.6494253451045129,0.6062690949689868,0.5810374393646393,0.6277444099508138,0.234921325977157,0.23134626900841054,0.23880814315804422,0.005995928829834925,0.005628155620563645,0.03645580933265167
oulab,8,activity_conditioned,base_rf_gini,29166,22,presentation,0.8580638041699491,0.8375833267723356,0.8737093657617316,0.8711187138256189,0.8386804430777526,0.8934547926623725,0.15029143511998172,0.14185644817153967,0.16025435129325336,0.02707706807593512,0.02330075952415954,0.03623330857319702
oulab,8,activity_conditioned,stack_7_full,29166,22,presentation,0.8675671990360359,0.8503479904759687,0.8809049770200316,0.8804003958900486,0.8530685070143255,0.9004652859509298,0.14384753932597782,0.13688529896612125,0.15210588623019594,0.008873639066115335,0.008061280054298252,0.015742273344926477
oulab,8,activity_conditioned,temporal_hgb,29166,22,presentation,0.8431068451612526,0.8155503445757449,0.8643218748980483,0.8510279308541959,0.8063657529307416,0.8815569115438648,0.15838461479663707,0.14704801139623103,0.17304009477094565,0.012355101214083954,0.011449313298905323,0.03287944339130326
oulab,8,activity_to_cutoff_valid,base_lr_profile,26523,22,presentation,0.6301370299461994,0.617733128440024,0.6422474836369223,0.5477303537688152,0.5199801204631302,0.5711341634195416,0.23361075251597618,0.23037516979865502,0.2366170386560193,0.049722674202040004,0.024653404435973338,0.074930043185345
oulab,8,activity_to_cutoff_valid,base_rf_gini,26523,22,presentation,0.8257397514870409,0.8074160005768412,0.8400593949283227,0.8055402122360531,0.7725091061642566,0.8307360773311866,0.16411487574457695,0.15686481355952497,0.17238519173779526,0.02798590702325962,0.02183612121287542,0.038773731274319885
oulab,8,activity_to_cutoff_valid,stack_7_full,26523,22,presentation,0.837361540493389,0.8216161500293374,0.8491713244734816,0.820192767383952,0.7921646688882789,0.8408091211288471,0.15726071580156115,0.15140726983855338,0.1641132615476567,0.009096116671247333,0.007309275048763413,0.01676650763082515
oulab,8,activity_to_cutoff_valid,temporal_hgb,26523,22,presentation,0.8089594075800355,0.7833850424704297,0.829361275065516,0.7770497422909242,0.7297602465039422,0.8140693771678944,0.17232175149214712,0.16165347458787835,0.18634610431144968,0.014108701613979327,0.00953539833621587,0.04629862884936122
