dataset,week,model,protocol,train_protocol,eval_protocol,membership_class,n,n_clusters,risk_rate,mean_predicted_risk,auc,pr_auc_risk,brier,ece
oulab,8,base_knn,cutoff_valid,cutoff_valid,cutoff_valid,eligible_silent,534,20,0.9157303370786517,0.996561797752809,0.634764826175869,0.9371916028591138,0.08323226966292135,0.08083146067415731
oulab,8,base_lr_clickstream,activity_to_cutoff_valid,activity_conditioned,cutoff_valid,eligible_active,25989,22,0.4098657124167917,0.43238010443713454,0.7228386760327759,0.6005309047653926,0.2144821813553194,0.0613864141474428
oulab,8,base_lr_clickstream,activity_to_cutoff_valid,activity_conditioned,cutoff_valid,eligible_silent,534,20,0.9157303370786517,0.8444447819387185,0.2956146330379459,0.8755588494721696,0.08504929289169771,0.07128555513993316
oulab,8,base_lr_clickstream,cutoff_valid,cutoff_valid,cutoff_valid,eligible_active,25989,22,0.4098657124167917,0.4054024496601125,0.7225079844047481,0.5910925537702594,0.21234305691754987,0.058415186471118485
oulab,8,base_lr_clickstream,cutoff_valid,cutoff_valid,cutoff_valid,eligible_silent,534,20,0.9157303370786517,0.9204560118960564,0.32069984094523973,0.8789616425330027,0.07915852204705666,0.041319689108476984
oulab,8,base_lr_profile,activity_to_cutoff_valid,activity_conditioned,cutoff_valid,eligible_active,25989,22,0.4098657124167917,0.4699272672937114,0.6259909730887468,0.5340331563378568,0.23406236358896543,0.06049573421564292
oulab,8,base_lr_profile,activity_to_cutoff_valid,activity_conditioned,cutoff_valid,eligible_silent,534,20,0.9157303370786517,0.486130091968061,0.7781413315155646,0.9730689986250167,0.25907835521130845,0.4296002451105907
oulab,8,base_lr_profile,cutoff_valid,cutoff_valid,cutoff_valid,eligible_active,25989,22,0.4098657124167917,0.4107157918831372,0.6279105882556305,0.5379499654576789,0.22972169044034937,0.006428494891762711
oulab,8,base_lr_profile,cutoff_valid,cutoff_valid,cutoff_valid,eligible_silent,534,20,0.9157303370786517,0.9204804196739761,0.668484435355601,0.9558448073391888,0.0749770928727347,0.004750082595324319
oulab,8,base_lr_weekly,activity_to_cutoff_valid,activity_conditioned,cutoff_valid,eligible_active,25989,22,0.4098657124167917,0.43729156598015523,0.7345584944490694,0.6368685878106219,0.21382813041506182,0.09065014679343902
oulab,8,base_lr_weekly,activity_to_cutoff_valid,activity_conditioned,cutoff_valid,eligible_silent,534,20,0.9157303370786517,0.8284121115879541,0.2992501704158146,0.8760112050026554,0.08841372892594784,0.0873182254906975
oulab,8,base_lr_weekly,cutoff_valid,cutoff_valid,cutoff_valid,eligible_active,25989,22,0.4098657124167917,0.4143484161157058,0.7332604448790034,0.6303239974139135,0.21058919618545346,0.06584932684390324
oulab,8,base_lr_weekly,cutoff_valid,cutoff_valid,cutoff_valid,eligible_silent,534,20,0.9157303370786517,0.9206166441932876,0.32069984094523973,0.8789616425330027,0.07919535445590799,0.041586917575863636
oulab,8,base_rf_entropy,activity_to_cutoff_valid,activity_conditioned,cutoff_valid,eligible_active,25989,22,0.4098657124167917,0.4501092779332736,0.7976971485854992,0.7688290093760382,0.17625470931821666,0.04365895162674534
